Y,red,green,blue,ir_3,vis_3,E
0,77.0,9.0,83.0,557.0,111.0,0
1,56.0,72.0,56.0,453.0,130.0,0
1,62.0,36.0,91.0,547.0,134.0,0
0,60.0,16.0,73.0,403.0,89.0,0
0,67.0,52.0,95.0,662.0,202.0,0
1,88.0,38.0,99.0,629.0,136.0,0
0,27.0,35.0,93.0,390.0,111.0,0
1,17.0,61.0,85.0,441.0,124.0,0
0,47.0,50.0,96.0,485.0,143.0,0
0,45.0,24.0,90.0,442.0,97.0,0
1,101.0,44.0,110.0,689.0,151.0,0
1,32.0,9.0,92.0,285.0,77.0,0
1,37.0,60.0,79.0,479.0,99.0,0
1,52.0,22.0,74.0,452.0,85.0,0
1,70.0,45.0,72.0,560.0,101.0,0
1,35.0,24.0,107.0,341.0,111.0,0
1,68.0,103.0,95.0,701.0,216.0,0
0,55.0,30.0,87.0,463.0,137.0,0
1,51.0,32.0,88.0,375.0,117.0,0
0,38.0,41.0,91.0,498.0,152.0,0
1,72.0,100.0,88.0,710.0,159.0,0
0,37.0,40.0,104.0,428.0,170.0,0
0,49.0,53.0,73.0,524.0,145.0,0
1,28.0,73.0,94.0,423.0,153.0,0
1,45.0,17.0,86.0,323.0,81.0,0
1,70.0,6.0,74.0,481.0,78.0,0
0,59.0,80.0,68.0,776.0,166.0,0
1,99.0,10.0,97.0,553.0,117.0,0
1,89.0,62.0,80.0,725.0,182.0,0
0,51.0,48.0,83.0,523.0,125.0,0
0,83.0,36.0,73.0,706.0,135.0,0
0,83.0,22.0,89.0,707.0,127.0,0
0,8.0,13.0,107.0,260.0,111.0,0
1,67.0,33.0,77.0,454.0,99.0,0
1,46.0,34.0,103.0,453.0,139.0,0
0,27.0,44.0,67.0,370.0,103.0,0
1,83.0,16.0,80.0,527.0,105.0,0
1,63.0,54.0,86.0,525.0,145.0,0
0,47.0,36.0,88.0,476.0,145.0,0
1,62.0,78.0,90.0,550.0,217.0,0
0,76.0,77.0,86.0,733.0,167.0,0
1,45.0,47.0,97.0,572.0,130.0,0
1,53.0,46.0,100.0,482.0,111.0,0
0,81.0,6.0,99.0,567.0,146.0,0
0,80.0,63.0,99.0,840.0,206.0,0
1,72.0,13.0,71.0,492.0,82.0,0
0,30.0,27.0,99.0,313.0,141.0,0
1,76.0,47.0,104.0,629.0,176.0,0
1,49.0,11.0,90.0,347.0,92.0,0
1,59.0,96.0,107.0,793.0,236.0,0
1,67.0,15.0,87.0,504.0,92.0,0
0,55.0,66.0,82.0,676.0,146.0,0
0,53.0,23.0,98.0,533.0,112.0,0
0,69.0,8.0,84.0,427.0,116.0,0
0,51.0,42.0,60.0,444.0,114.0,0
0,101.0,46.0,83.0,710.0,139.0,0
1,91.0,31.0,91.0,564.0,121.0,0
