Y,red,green,blue,ir_1,vis_1,ir_3,vis_3,E
0,63.0,53.0,107.0,13902.0,3640.0,656.0,168.0,0
0,67.0,78.0,105.0,16790.0,4710.0,880.0,209.0,0
0,62.0,6.0,97.0,9248.0,2044.0,451.0,139.0,0
1,39.0,35.0,72.0,8466.0,2199.0,331.0,103.0,0
1,62.0,2.0,71.0,12964.0,2506.0,361.0,76.0,0
1,86.0,71.0,115.0,17810.0,5214.0,735.0,219.0,0
0,84.0,61.0,93.0,18620.0,4439.0,947.0,183.0,0
1,72.0,41.0,81.0,14033.0,3175.0,504.0,131.0,0
1,56.0,12.0,96.0,9350.0,2684.0,382.0,97.0,0
0,49.0,46.0,84.0,11701.0,3209.0,472.0,140.0,0
0,71.0,62.0,72.0,16540.0,3947.0,663.0,167.0,0
1,60.0,18.0,96.0,11057.0,3278.0,417.0,93.0,0
1,83.0,50.0,73.0,17914.0,2926.0,599.0,142.0,0
0,33.0,63.0,101.0,11292.0,2982.0,524.0,179.0,0
1,75.0,38.0,80.0,12692.0,2821.0,480.0,92.0,0
1,49.0,36.0,82.0,12270.0,2854.0,428.0,93.0,0
0,33.0,4.0,95.0,7307.0,2333.0,312.0,108.0,0
1,52.0,58.0,106.0,12933.0,4370.0,487.0,147.0,0
0,48.0,36.0,72.0,9034.0,3055.0,454.0,86.0,0
0,74.0,7.0,107.0,11334.0,3394.0,597.0,129.0,0
1,69.0,96.0,98.0,19588.0,4102.0,630.0,166.0,0
0,89.0,26.0,116.0,18309.0,4784.0,721.0,200.0,0
1,94.0,3.0,98.0,19761.0,3771.0,536.0,113.0,0
0,73.0,30.0,94.0,13693.0,2663.0,552.0,163.0,0
0,30.0,56.0,85.0,11034.0,3706.0,483.0,173.0,0
0,95.0,49.0,102.0,17138.0,4533.0,1032.0,199.0,0
0,89.0,18.0,91.0,15673.0,4003.0,683.0,129.0,0
0,76.0,5.0,80.0,14090.0,3066.0,504.0,119.0,0
1,36.0,22.0,97.0,7922.0,2577.0,298.0,104.0,0
1,71.0,83.0,86.0,18109.0,5624.0,699.0,108.0,0
0,56.0,3.0,99.0,8243.0,2476.0,485.0,117.0,0
0,59.0,53.0,85.0,15006.0,3109.0,665.0,169.0,0
0,74.0,48.0,82.0,14753.0,3600.0,731.0,149.0,0
0,89.0,16.0,97.0,13006.0,3158.0,643.0,163.0,0
1,54.0,82.0,102.0,18480.0,5486.0,562.0,158.0,0
1,66.0,48.0,72.0,10253.0,3003.0,525.0,125.0,0
1,68.0,31.0,115.0,13818.0,3101.0,538.0,112.0,0
1,73.0,25.0,89.0,14139.0,3405.0,501.0,112.0,0
1,38.0,34.0,87.0,6568.0,2440.0,316.0,86.0,0
0,87.0,45.0,101.0,14252.0,3866.0,841.0,175.0,0
0,74.0,53.0,89.0,18029.0,4023.0,678.0,134.0,0
1,24.0,38.0,85.0,6130.0,2363.0,273.0,79.0,0
0,95.0,18.0,82.0,18824.0,2787.0,693.0,116.0,0
0,41.0,43.0,88.0,11452.0,3586.0,498.0,114.0,0
1,104.0,6.0,90.0,19500.0,4059.0,550.0,106.0,0
1,67.0,31.0,94.0,11634.0,3152.0,478.0,94.0,0
0,49.0,36.0,95.0,10297.0,3899.0,508.0,129.0,0
0,72.0,116.0,103.0,23030.0,6147.0,1054.0,305.0,0
1,61.0,3.0,87.0,10429.0,2814.0,390.0,87.0,0
0,47.0,19.0,81.0,7397.0,2532.0,416.0,116.0,0
1,41.0,13.0,81.0,7825.0,2515.0,311.0,74.0,0
1,37.0,28.0,90.0,8379.0,2793.0,347.0,71.0,0
0,66.0,90.0,83.0,16417.0,4406.0,842.0,174.0,0
1,67.0,46.0,73.0,15968.0,3596.0,445.0,114.0,0
1,31.0,28.0,83.0,7028.0,2286.0,338.0,102.0,0
0,66.0,33.0,108.0,13371.0,3352.0,601.0,174.0,0
1,76.0,39.0,71.0,17628.0,2811.0,556.0,120.0,0
0,76.0,23.0,79.0,13382.0,2916.0,600.0,126.0,0
1,65.0,72.0,109.0,18126.0,5196.0,535.0,158.0,0
0,57.0,20.0,89.0,8759.0,2260.0,527.0,136.0,0
1,38.0,41.0,102.0,11095.0,4193.0,382.0,101.0,0
0,97.0,23.0,103.0,18905.0,4292.0,768.0,161.0,0
0,63.0,108.0,99.0,18836.0,4668.0,921.0,218.0,0
0,31.0,17.0,62.0,5659.0,1465.0,254.0,76.0,0
0,75.0,36.0,84.0,12044.0,3454.0,582.0,132.0,0
1,68.0,8.0,97.0,12019.0,3067.0,414.0,94.0,0
0,52.0,19.0,107.0,9883.0,3344.0,506.0,156.0,0
1,98.0,43.0,75.0,17693.0,3128.0,694.0,140.0,0
0,55.0,43.0,93.0,11674.0,3045.0,622.0,179.0,0
1,70.0,82.0,93.0,14670.0,4460.0,786.0,174.0,0
0,82.0,9.0,83.0,13071.0,2554.0,637.0,121.0,0
1,82.0,52.0,103.0,15593.0,3993.0,685.0,153.0,0
1,40.0,45.0,90.0,10491.0,3129.0,342.0,100.0,0
0,75.0,15.0,88.0,12247.0,2900.0,583.0,139.0,0
1,77.0,70.0,83.0,18801.0,4254.0,595.0,153.0,0
1,69.0,46.0,88.0,12920.0,2744.0,456.0,112.0,0
0,61.0,35.0,99.0,15178.0,3637.0,519.0,155.0,0
1,71.0,34.0,71.0,12308.0,2813.0,405.0,83.0,0
1,52.0,40.0,83.0,11059.0,3348.0,402.0,103.0,0
1,66.0,19.0,93.0,13959.0,3361.0,423.0,99.0,0
0,62.0,16.0,90.0,9438.0,2864.0,490.0,142.0,0
0,71.0,31.0,68.0,15146.0,2880.0,582.0,140.0,0
0,26.0,54.0,102.0,8691.0,3124.0,472.0,118.0,0
1,37.0,63.0,80.0,8798.0,3464.0,373.0,100.0,0
1,88.0,49.0,85.0,18042.0,4048.0,574.0,128.0,0
0,73.0,12.0,93.0,13072.0,3112.0,515.0,128.0,0
1,68.0,16.0,96.0,12768.0,3385.0,480.0,110.0,0
0,54.0,22.0,107.0,11572.0,3396.0,520.0,141.0,0
1,77.0,8.0,67.0,11877.0,2327.0,478.0,90.0,0
0,27.0,60.0,91.0,7554.0,2472.0,475.0,145.0,0
0,65.0,16.0,65.0,9481.0,2070.0,547.0,99.0,0
1,85.0,20.0,82.0,15155.0,3464.0,461.0,99.0,0
1,69.0,86.0,92.0,20671.0,4902.0,796.0,153.0,0
0,102.0,53.0,65.0,17303.0,4003.0,841.0,150.0,0
0,51.0,31.0,99.0,10391.0,2691.0,486.0,148.0,0
1,60.0,39.0,110.0,12103.0,3499.0,509.0,133.0,0
1,51.0,25.0,81.0,11063.0,2562.0,391.0,79.0,0
0,83.0,61.0,103.0,19225.0,3998.0,823.0,212.0,0
0,86.0,20.0,87.0,13491.0,3458.0,648.0,141.0,0
1,37.0,35.0,90.0,8797.0,3190.0,312.0,116.0,0
0,68.0,1.0,91.0,12223.0,2731.0,624.0,149.0,0
0,60.0,17.0,85.0,10145.0,2574.0,472.0,131.0,0
1,67.0,5.0,76.0,12068.0,2535.0,364.0,87.0,0
1,58.0,11.0,92.0,7031.0,2125.0,368.0,81.0,0
1,47.0,63.0,90.0,12119.0,3153.0,569.0,127.0,0
1,64.0,75.0,80.0,14572.0,4041.0,657.0,157.0,0
0,42.0,30.0,70.0,8299.0,2344.0,409.0,79.0,0
0,76.0,17.0,86.0,13203.0,2909.0,595.0,129.0,0
1,68.0,45.0,87.0,14876.0,4187.0,499.0,98.0,0
1,75.0,26.0,91.0,13910.0,2928.0,519.0,109.0,0
1,32.0,60.0,94.0,9869.0,3205.0,385.0,104.0,0
0,84.0,32.0,74.0,19186.0,3461.0,689.0,115.0,0
1,58.0,14.0,96.0,9730.0,3186.0,421.0,104.0,0
1,72.0,49.0,80.0,13692.0,3410.0,565.0,125.0,0
0,95.0,57.0,69.0,19900.0,4102.0,902.0,190.0,0
1,56.0,26.0,86.0,12959.0,3187.0,394.0,108.0,0
0,57.0,1.0,79.0,9602.0,2499.0,385.0,87.0,0
0,49.0,83.0,72.0,12681.0,3559.0,655.0,193.0,0
1,70.0,56.0,90.0,16375.0,3422.0,493.0,144.0,0
0,89.0,67.0,106.0,20811.0,4772.0,984.0,217.0,0
0,50.0,20.0,99.0,8226.0,3095.0,542.0,131.0,0
1,56.0,69.0,91.0,15708.0,3770.0,621.0,132.0,0
1,50.0,25.0,74.0,8456.0,2699.0,410.0,96.0,0
1,63.0,33.0,85.0,12057.0,3084.0,461.0,99.0,0
0,46.0,36.0,92.0,9329.0,2928.0,477.0,132.0,0
0,69.0,15.0,100.0,13337.0,3316.0,588.0,139.0,0
1,86.0,55.0,100.0,19534.0,4629.0,692.0,148.0,0
1,55.0,36.0,70.0,10515.0,2729.0,378.0,85.0,0
0,75.0,31.0,93.0,14546.0,3387.0,577.0,163.0,0
0,79.0,36.0,106.0,15105.0,4098.0,766.0,180.0,0
1,73.0,59.0,81.0,15219.0,3794.0,527.0,133.0,0
0,64.0,69.0,94.0,16959.0,3557.0,741.0,171.0,0
0,86.0,59.0,84.0,19495.0,4316.0,790.0,174.0,0
1,63.0,23.0,80.0,10773.0,2967.0,425.0,91.0,0
0,86.0,15.0,97.0,13441.0,3437.0,518.0,146.0,0
1,65.0,54.0,90.0,14744.0,4094.0,503.0,111.0,0
0,56.0,39.0,82.0,11705.0,3150.0,479.0,108.0,0
1,57.0,38.0,107.0,12585.0,3626.0,564.0,130.0,0
0,31.0,48.0,85.0,8778.0,2537.0,463.0,137.0,0
1,93.0,71.0,80.0,19542.0,3853.0,671.0,154.0,0
1,71.0,37.0,97.0,15404.0,4142.0,512.0,117.0,0
1,61.0,49.0,66.0,11834.0,2830.0,398.0,95.0,0
1,37.0,54.0,82.0,10296.0,2990.0,404.0,111.0,0
0,56.0,11.0,100.0,10560.0,3275.0,445.0,110.0,0
0,63.0,4.0,83.0,9384.0,2706.0,537.0,115.0,0
0,83.0,62.0,86.0,18652.0,3604.0,744.0,157.0,0
0,51.0,56.0,69.0,11309.0,3018.0,572.0,132.0,0
1,111.0,19.0,110.0,21645.0,4888.0,689.0,140.0,0
0,67.0,105.0,114.0,21407.0,6545.0,910.0,251.0,0
0,75.0,23.0,78.0,13975.0,2769.0,568.0,116.0,0
1,96.0,46.0,85.0,20067.0,4436.0,612.0,125.0,0
1,55.0,52.0,114.0,13236.0,3782.0,647.0,178.0,0
0,68.0,51.0,85.0,13169.0,3585.0,622.0,137.0,0
0,63.0,49.0,75.0,15667.0,2937.0,584.0,156.0,0
0,59.0,57.0,94.0,16479.0,4248.0,635.0,158.0,0
0,44.0,34.0,99.0,9454.0,3481.0,507.0,170.0,0
1,85.0,28.0,106.0,15123.0,4854.0,642.0,125.0,0
1,69.0,64.0,96.0,13918.0,3917.0,536.0,138.0,0
0,45.0,21.0,90.0,10536.0,2410.0,401.0,112.0,0
0,75.0,29.0,97.0,12764.0,3130.0,731.0,158.0,0
1,51.0,20.0,100.0,8749.0,2437.0,416.0,112.0,0
1,79.0,73.0,100.0,18488.0,4753.0,735.0,182.0,0
1,106.0,20.0,91.0,19245.0,3506.0,656.0,115.0,0
1,100.0,29.0,69.0,16962.0,2586.0,607.0,113.0,0
0,41.0,15.0,80.0,7622.0,2101.0,293.0,88.0,0
0,85.0,70.0,80.0,20879.0,3445.0,694.0,169.0,0
1,91.0,45.0,91.0,16485.0,4346.0,605.0,146.0,0
