Y,red,green,blue,ir_3,vis_3,E
0,63.0,53.0,107.0,703.0,174.0,0
0,67.0,78.0,105.0,760.0,220.0,0
0,62.0,6.0,97.0,485.0,115.0,0
1,39.0,35.0,72.0,219.0,57.0,0
1,62.0,2.0,71.0,265.0,48.0,0
1,86.0,71.0,115.0,433.0,97.0,0
0,84.0,61.0,93.0,813.0,196.0,0
1,72.0,41.0,81.0,390.0,77.0,0
1,56.0,12.0,96.0,259.0,57.0,0
0,49.0,46.0,84.0,543.0,132.0,0
0,71.0,62.0,72.0,771.0,161.0,0
1,60.0,18.0,96.0,296.0,67.0,0
1,83.0,50.0,73.0,423.0,96.0,0
0,33.0,63.0,101.0,570.0,171.0,0
1,75.0,38.0,80.0,402.0,74.0,0
1,49.0,36.0,82.0,302.0,69.0,0
0,33.0,4.0,95.0,329.0,111.0,0
1,52.0,58.0,106.0,353.0,83.0,0
0,48.0,36.0,72.0,475.0,127.0,0
0,74.0,7.0,107.0,514.0,153.0,0
1,69.0,96.0,98.0,477.0,97.0,0
0,89.0,26.0,116.0,713.0,159.0,0
1,94.0,3.0,98.0,424.0,59.0,0
0,73.0,30.0,94.0,702.0,178.0,0
0,30.0,56.0,85.0,528.0,167.0,0
0,95.0,49.0,102.0,802.0,183.0,0
0,89.0,18.0,91.0,740.0,160.0,0
0,76.0,5.0,80.0,544.0,107.0,0
1,36.0,22.0,97.0,234.0,72.0,0
1,71.0,83.0,86.0,450.0,92.0,0
0,56.0,3.0,99.0,442.0,140.0,0
0,59.0,53.0,85.0,599.0,149.0,0
0,74.0,48.0,82.0,777.0,145.0,0
0,89.0,16.0,97.0,827.0,137.0,0
1,54.0,82.0,102.0,421.0,82.0,0
1,66.0,48.0,72.0,357.0,79.0,0
1,68.0,31.0,115.0,402.0,105.0,0
1,73.0,25.0,89.0,345.0,75.0,0
1,38.0,34.0,87.0,242.0,68.0,0
0,87.0,45.0,101.0,914.0,197.0,0
0,74.0,53.0,89.0,631.0,165.0,0
1,24.0,38.0,85.0,239.0,60.0,0
0,95.0,18.0,82.0,708.0,138.0,0
0,41.0,43.0,88.0,521.0,141.0,0
1,104.0,6.0,90.0,381.0,83.0,0
1,67.0,31.0,94.0,321.0,78.0,0
0,49.0,36.0,95.0,459.0,141.0,0
0,72.0,116.0,103.0,1019.0,244.0,0
1,61.0,3.0,87.0,255.0,54.0,0
0,47.0,19.0,81.0,383.0,109.0,0
1,41.0,13.0,81.0,193.0,49.0,0
1,37.0,28.0,90.0,226.0,51.0,0
0,66.0,90.0,83.0,968.0,200.0,0
1,67.0,46.0,73.0,327.0,77.0,0
1,31.0,28.0,83.0,245.0,60.0,0
0,66.0,33.0,108.0,565.0,155.0,0
1,76.0,39.0,71.0,421.0,71.0,0
0,76.0,23.0,79.0,650.0,161.0,0
1,65.0,72.0,109.0,423.0,117.0,0
0,57.0,20.0,89.0,521.0,124.0,0
1,38.0,41.0,102.0,283.0,89.0,0
0,97.0,23.0,103.0,849.0,194.0,0
0,63.0,108.0,99.0,819.0,247.0,0
0,31.0,17.0,62.0,279.0,78.0,0
0,75.0,36.0,84.0,487.0,139.0,0
1,68.0,8.0,97.0,255.0,69.0,0
0,52.0,19.0,107.0,496.0,155.0,0
1,98.0,43.0,75.0,415.0,73.0,0
0,55.0,43.0,93.0,530.0,148.0,0
1,70.0,82.0,93.0,481.0,132.0,0
0,82.0,9.0,83.0,529.0,117.0,0
1,82.0,52.0,103.0,473.0,104.0,0
1,40.0,45.0,90.0,254.0,59.0,0
0,75.0,15.0,88.0,581.0,165.0,0
1,77.0,70.0,83.0,444.0,82.0,0
1,69.0,46.0,88.0,340.0,68.0,0
0,61.0,35.0,99.0,511.0,162.0,0
1,71.0,34.0,71.0,316.0,59.0,0
1,52.0,40.0,83.0,338.0,80.0,0
1,66.0,19.0,93.0,331.0,77.0,0
0,62.0,16.0,90.0,526.0,129.0,0
0,71.0,31.0,68.0,635.0,133.0,0
0,26.0,54.0,102.0,413.0,143.0,0
1,37.0,63.0,80.0,306.0,78.0,0
1,88.0,49.0,85.0,413.0,91.0,0
0,73.0,12.0,93.0,606.0,108.0,0
1,68.0,16.0,96.0,278.0,58.0,0
0,54.0,22.0,107.0,540.0,147.0,0
1,77.0,8.0,67.0,308.0,66.0,0
0,27.0,60.0,91.0,521.0,175.0,0
0,65.0,16.0,65.0,504.0,100.0,0
1,85.0,20.0,82.0,330.0,68.0,0
1,69.0,86.0,92.0,442.0,107.0,0
0,102.0,53.0,65.0,799.0,144.0,0
0,51.0,31.0,99.0,493.0,116.0,0
1,60.0,39.0,110.0,313.0,84.0,0
1,51.0,25.0,81.0,290.0,61.0,0
0,83.0,61.0,103.0,774.0,224.0,0
0,86.0,20.0,87.0,781.0,170.0,0
1,37.0,35.0,90.0,296.0,74.0,0
0,68.0,1.0,91.0,538.0,132.0,0
0,60.0,17.0,85.0,499.0,136.0,0
1,67.0,5.0,76.0,340.0,61.0,0
1,58.0,11.0,92.0,278.0,60.0,0
1,47.0,63.0,90.0,335.0,87.0,0
1,64.0,75.0,80.0,454.0,94.0,0
0,42.0,30.0,70.0,488.0,123.0,0
0,76.0,17.0,86.0,620.0,135.0,0
1,68.0,45.0,87.0,338.0,72.0,0
1,75.0,26.0,91.0,320.0,78.0,0
1,32.0,60.0,94.0,316.0,74.0,0
0,84.0,32.0,74.0,681.0,136.0,0
1,58.0,14.0,96.0,239.0,64.0,0
1,72.0,49.0,80.0,407.0,87.0,0
0,95.0,57.0,69.0,767.0,162.0,0
1,56.0,26.0,86.0,316.0,84.0,0
0,57.0,1.0,79.0,441.0,116.0,0
0,49.0,83.0,72.0,711.0,180.0,0
1,70.0,56.0,90.0,299.0,85.0,0
0,89.0,67.0,106.0,849.0,221.0,0
0,50.0,20.0,99.0,590.0,129.0,0
1,56.0,69.0,91.0,406.0,100.0,0
1,50.0,25.0,74.0,230.0,59.0,0
1,63.0,33.0,85.0,333.0,73.0,0
0,46.0,36.0,92.0,469.0,148.0,0
0,69.0,15.0,100.0,676.0,138.0,0
1,86.0,55.0,100.0,392.0,91.0,0
1,55.0,36.0,70.0,299.0,57.0,0
0,75.0,31.0,93.0,681.0,129.0,0
0,79.0,36.0,106.0,798.0,216.0,0
1,73.0,59.0,81.0,373.0,81.0,0
0,64.0,69.0,94.0,854.0,193.0,0
0,86.0,59.0,84.0,900.0,206.0,0
1,63.0,23.0,80.0,329.0,65.0,0
0,86.0,15.0,97.0,631.0,148.0,0
1,65.0,54.0,90.0,341.0,103.0,0
0,56.0,39.0,82.0,613.0,140.0,0
1,57.0,38.0,107.0,297.0,87.0,0
0,31.0,48.0,85.0,404.0,125.0,0
1,93.0,71.0,80.0,484.0,86.0,0
1,71.0,37.0,97.0,308.0,80.0,0
1,61.0,49.0,66.0,291.0,53.0,0
1,37.0,54.0,82.0,258.0,77.0,0
0,56.0,11.0,100.0,456.0,151.0,0
0,63.0,4.0,83.0,442.0,116.0,0
0,83.0,62.0,86.0,819.0,189.0,0
0,51.0,56.0,69.0,621.0,145.0,0
1,111.0,19.0,110.0,427.0,80.0,0
0,67.0,105.0,114.0,987.0,239.0,0
0,75.0,23.0,78.0,560.0,109.0,0
1,96.0,46.0,85.0,434.0,81.0,0
1,55.0,52.0,114.0,395.0,103.0,0
0,68.0,51.0,85.0,584.0,132.0,0
0,63.0,49.0,75.0,701.0,144.0,0
0,59.0,57.0,94.0,632.0,141.0,0
0,44.0,34.0,99.0,446.0,162.0,0
1,85.0,28.0,106.0,401.0,85.0,0
1,69.0,64.0,96.0,364.0,103.0,0
0,45.0,21.0,90.0,511.0,125.0,0
0,75.0,29.0,97.0,724.0,167.0,0
1,51.0,20.0,100.0,265.0,60.0,0
1,79.0,73.0,100.0,490.0,88.0,0
1,106.0,20.0,91.0,391.0,62.0,0
1,100.0,29.0,69.0,428.0,69.0,0
0,41.0,15.0,80.0,352.0,106.0,0
0,85.0,70.0,80.0,725.0,168.0,0
1,91.0,45.0,91.0,390.0,70.0,0
0,51.0,70.0,94.0,723.0,183.0,0
1,50.0,12.0,71.0,210.0,49.0,0
0,66.0,52.0,80.0,672.0,176.0,0
0,76.0,81.0,94.0,776.0,236.0,0
0,87.0,18.0,99.0,690.0,183.0,0
0,67.0,15.0,94.0,597.0,161.0,0
0,59.0,46.0,102.0,558.0,156.0,0
1,48.0,61.0,89.0,317.0,80.0,0
1,58.0,45.0,96.0,353.0,78.0,0
1,57.0,2.0,95.0,294.0,59.0,0
0,43.0,34.0,82.0,533.0,132.0,0
1,76.0,102.0,92.0,517.0,134.0,0
1,75.0,29.0,79.0,342.0,62.0,0
0,67.0,29.0,113.0,659.0,149.0,0
0,83.0,59.0,87.0,866.0,193.0,0
1,69.0,11.0,57.0,256.0,38.0,0
1,61.0,24.0,72.0,293.0,52.0,0
1,63.0,48.0,93.0,318.0,88.0,0
1,68.0,9.0,98.0,300.0,61.0,0
1,54.0,12.0,83.0,254.0,47.0,0
1,72.0,48.0,98.0,370.0,77.0,0
0,66.0,0.0,98.0,498.0,131.0,0
0,71.0,49.0,87.0,754.0,174.0,0
1,45.0,99.0,69.0,380.0,87.0,0
1,76.0,18.0,76.0,268.0,63.0,0
0,67.0,25.0,87.0,546.0,141.0,0
1,56.0,11.0,92.0,255.0,63.0,0
0,83.0,58.0,83.0,612.0,138.0,0
1,51.0,27.0,83.0,310.0,69.0,0
0,57.0,45.0,101.0,723.0,172.0,0
0,45.0,22.0,83.0,402.0,104.0,0
1,88.0,24.0,81.0,435.0,81.0,0
1,51.0,38.0,90.0,294.0,87.0,0
0,75.0,77.0,96.0,453.0,190.0,1
0,93.0,73.0,91.0,504.0,194.0,1
0,32.0,54.0,92.0,265.0,148.0,1
1,62.0,7.0,103.0,155.0,69.0,1
1,22.0,6.0,99.0,91.0,45.0,1
1,88.0,96.0,96.0,281.0,119.0,1
0,81.0,45.0,104.0,346.0,176.0,1
1,67.0,19.0,71.0,160.0,52.0,1
1,42.0,50.0,91.0,174.0,76.0,1
0,70.0,26.0,82.0,273.0,139.0,1
0,82.0,7.0,108.0,347.0,155.0,1
1,48.0,51.0,94.0,183.0,75.0,1
1,73.0,8.0,101.0,171.0,72.0,1
0,83.0,63.0,91.0,452.0,186.0,1
1,64.0,18.0,85.0,151.0,59.0,1
1,63.0,22.0,87.0,155.0,65.0,1
0,30.0,49.0,78.0,208.0,130.0,1
1,79.0,74.0,86.0,228.0,88.0,1
0,63.0,6.0,117.0,270.0,143.0,1
0,35.0,76.0,102.0,337.0,176.0,1
1,105.0,56.0,104.0,256.0,134.0,1
0,55.0,99.0,102.0,414.0,266.0,1
1,26.0,55.0,85.0,146.0,73.0,1
0,59.0,46.0,92.0,301.0,167.0,1
0,78.0,26.0,98.0,353.0,179.0,1
0,73.0,64.0,97.0,400.0,177.0,1
0,47.0,40.0,90.0,235.0,134.0,1
0,31.0,17.0,85.0,154.0,95.0,1
1,51.0,53.0,73.0,156.0,68.0,1
1,96.0,29.0,108.0,222.0,108.0,1
0,26.0,57.0,87.0,239.0,156.0,1
0,76.0,28.0,88.0,312.0,138.0,1
0,72.0,22.0,79.0,298.0,107.0,1
0,46.0,53.0,68.0,276.0,119.0,1
1,96.0,66.0,81.0,250.0,110.0,1
0,72.0,7.0,75.0,262.0,119.0,1
1,59.0,97.0,78.0,227.0,109.0,1
1,54.0,36.0,96.0,158.0,86.0,1
1,62.0,31.0,84.0,164.0,64.0,1
0,69.0,62.0,81.0,362.0,217.0,1
0,75.0,36.0,98.0,354.0,194.0,1
1,65.0,26.0,69.0,169.0,50.0,1
0,48.0,20.0,77.0,235.0,130.0,1
0,68.0,33.0,85.0,312.0,168.0,1
1,34.0,38.0,94.0,136.0,74.0,1
1,59.0,46.0,114.0,169.0,90.0,1
0,63.0,48.0,112.0,323.0,149.0,1
0,119.0,68.0,104.0,554.0,265.0,1
1,27.0,31.0,87.0,117.0,66.0,1
0,49.0,19.0,90.0,205.0,105.0,1
1,43.0,20.0,96.0,118.0,69.0,1
1,57.0,37.0,84.0,167.0,76.0,1
0,101.0,23.0,101.0,381.0,168.0,1
1,70.0,8.0,94.0,172.0,65.0,1
1,56.0,24.0,115.0,172.0,83.0,1
0,60.0,80.0,87.0,416.0,193.0,1
1,65.0,6.0,74.0,123.0,41.0,1
0,52.0,16.0,71.0,182.0,115.0,1
1,89.0,82.0,82.0,256.0,122.0,1
0,49.0,35.0,88.0,224.0,112.0,1
1,67.0,64.0,86.0,211.0,104.0,1
0,53.0,67.0,97.0,298.0,178.0,1
0,113.0,58.0,117.0,501.0,236.0,1
0,46.0,1.0,102.0,219.0,110.0,1
0,63.0,25.0,80.0,230.0,123.0,1
1,35.0,54.0,93.0,151.0,73.0,1
0,48.0,77.0,100.0,351.0,197.0,1
1,68.0,10.0,103.0,141.0,71.0,1
0,68.0,44.0,112.0,349.0,182.0,1
1,95.0,45.0,95.0,220.0,106.0,1
0,38.0,22.0,83.0,200.0,120.0,1
1,75.0,67.0,96.0,217.0,100.0,1
1,70.0,37.0,77.0,178.0,64.0,1
0,44.0,33.0,78.0,225.0,118.0,1
1,88.0,24.0,84.0,193.0,69.0,1
1,71.0,33.0,93.0,169.0,68.0,1
0,62.0,58.0,98.0,328.0,189.0,1
1,62.0,6.0,106.0,130.0,65.0,1
0,66.0,23.0,72.0,327.0,129.0,1
1,49.0,45.0,93.0,162.0,60.0,1
0,46.0,36.0,95.0,285.0,140.0,1
0,59.0,3.0,86.0,238.0,120.0,1
0,76.0,65.0,98.0,427.0,221.0,1
1,83.0,18.0,92.0,194.0,72.0,1
1,73.0,26.0,79.0,179.0,75.0,1
0,41.0,43.0,96.0,254.0,160.0,1
1,45.0,51.0,83.0,158.0,62.0,1
0,51.0,76.0,87.0,351.0,139.0,1
1,36.0,3.0,75.0,114.0,45.0,1
0,81.0,40.0,96.0,336.0,153.0,1
0,45.0,2.0,68.0,182.0,75.0,1
1,50.0,21.0,105.0,131.0,76.0,1
0,99.0,43.0,115.0,452.0,216.0,1
0,75.0,2.0,85.0,296.0,128.0,1
0,59.0,58.0,74.0,311.0,167.0,1
1,65.0,84.0,106.0,230.0,129.0,1
1,54.0,19.0,79.0,121.0,61.0,1
0,81.0,68.0,82.0,391.0,165.0,1
0,50.0,31.0,97.0,276.0,144.0,1
1,62.0,38.0,78.0,175.0,53.0,1
0,17.0,39.0,86.0,179.0,107.0,1
0,47.0,28.0,90.0,235.0,122.0,1
1,32.0,11.0,104.0,109.0,53.0,1
1,40.0,42.0,104.0,160.0,80.0,1
1,83.0,37.0,90.0,189.0,81.0,1
1,91.0,18.0,93.0,214.0,68.0,1
0,59.0,5.0,85.0,279.0,119.0,1
0,47.0,29.0,77.0,292.0,135.0,1
1,70.0,32.0,92.0,182.0,73.0,1
1,55.0,40.0,91.0,170.0,74.0,1
1,81.0,47.0,86.0,206.0,85.0,1
0,60.0,9.0,116.0,276.0,177.0,1
1,44.0,50.0,115.0,157.0,97.0,1
1,73.0,17.0,103.0,192.0,79.0,1
0,78.0,4.0,78.0,299.0,104.0,1
