Y,red,green,blue,ir_1,vis_1,ir_3,vis_3,E
0,63.0,53.0,107.0,15157.0,3867.0,703.0,174.0,0
0,67.0,78.0,105.0,15689.0,4398.0,760.0,220.0,0
0,62.0,6.0,97.0,9242.0,2345.0,485.0,115.0,0
1,39.0,35.0,72.0,8307.0,2389.0,219.0,57.0,0
1,62.0,2.0,71.0,11072.0,2460.0,265.0,48.0,0
1,86.0,71.0,115.0,22286.0,5609.0,433.0,97.0,0
0,84.0,61.0,93.0,19464.0,4193.0,813.0,196.0,0
1,72.0,41.0,81.0,15351.0,3647.0,390.0,77.0,0
1,56.0,12.0,96.0,10982.0,2837.0,259.0,57.0,0
0,49.0,46.0,84.0,12651.0,3188.0,543.0,132.0,0
0,71.0,62.0,72.0,14464.0,3877.0,771.0,161.0,0
1,60.0,18.0,96.0,12062.0,3178.0,296.0,67.0,0
1,83.0,50.0,73.0,16031.0,3703.0,423.0,96.0,0
0,33.0,63.0,101.0,12017.0,3663.0,570.0,171.0,0
1,75.0,38.0,80.0,13567.0,3410.0,402.0,74.0,0
1,49.0,36.0,82.0,10086.0,2678.0,302.0,69.0,0
0,33.0,4.0,95.0,6487.0,2697.0,329.0,111.0,0
1,52.0,58.0,106.0,13802.0,4374.0,353.0,83.0,0
0,48.0,36.0,72.0,10935.0,3192.0,475.0,127.0,0
0,74.0,7.0,107.0,13391.0,3787.0,514.0,153.0,0
1,69.0,96.0,98.0,19161.0,4589.0,477.0,97.0,0
0,89.0,26.0,116.0,15165.0,4554.0,713.0,159.0,0
1,94.0,3.0,98.0,16756.0,3496.0,424.0,59.0,0
0,73.0,30.0,94.0,14333.0,3226.0,702.0,178.0,0
0,30.0,56.0,85.0,9803.0,2917.0,528.0,167.0,0
0,95.0,49.0,102.0,17224.0,4614.0,802.0,183.0,0
0,89.0,18.0,91.0,15727.0,3629.0,740.0,160.0,0
0,76.0,5.0,80.0,11713.0,2688.0,544.0,107.0,0
1,36.0,22.0,97.0,5593.0,2505.0,234.0,72.0,0
1,71.0,83.0,86.0,16844.0,4498.0,450.0,92.0,0
0,56.0,3.0,99.0,9894.0,2733.0,442.0,140.0,0
0,59.0,53.0,85.0,15271.0,3238.0,599.0,149.0,0
0,74.0,48.0,82.0,15520.0,3050.0,777.0,145.0,0
0,89.0,16.0,97.0,16387.0,2897.0,827.0,137.0,0
1,54.0,82.0,102.0,15314.0,3903.0,421.0,82.0,0
1,66.0,48.0,72.0,13979.0,2748.0,357.0,79.0,0
1,68.0,31.0,115.0,12536.0,3738.0,402.0,105.0,0
1,73.0,25.0,89.0,13244.0,3206.0,345.0,75.0,0
1,38.0,34.0,87.0,6431.0,2630.0,242.0,68.0,0
0,87.0,45.0,101.0,16689.0,3924.0,914.0,197.0,0
0,74.0,53.0,89.0,15517.0,3680.0,631.0,165.0,0
1,24.0,38.0,85.0,7018.0,2431.0,239.0,60.0,0
0,95.0,18.0,82.0,14188.0,3007.0,708.0,138.0,0
0,41.0,43.0,88.0,9902.0,3095.0,521.0,141.0,0
1,104.0,6.0,90.0,19951.0,3612.0,381.0,83.0,0
1,67.0,31.0,94.0,12315.0,3356.0,321.0,78.0,0
0,49.0,36.0,95.0,9753.0,3158.0,459.0,141.0,0
0,72.0,116.0,103.0,18528.0,5634.0,1019.0,244.0,0
1,61.0,3.0,87.0,11614.0,2944.0,255.0,54.0,0
0,47.0,19.0,81.0,11066.0,2711.0,383.0,109.0,0
1,41.0,13.0,81.0,7277.0,2239.0,193.0,49.0,0
1,37.0,28.0,90.0,6791.0,2710.0,226.0,51.0,0
0,66.0,90.0,83.0,17977.0,5183.0,968.0,200.0,0
1,67.0,46.0,73.0,12958.0,3346.0,327.0,77.0,0
1,31.0,28.0,83.0,6065.0,2212.0,245.0,60.0,0
0,66.0,33.0,108.0,13870.0,3872.0,565.0,155.0,0
1,76.0,39.0,71.0,14323.0,3006.0,421.0,71.0,0
0,76.0,23.0,79.0,13797.0,2968.0,650.0,161.0,0
1,65.0,72.0,109.0,19694.0,4678.0,423.0,117.0,0
0,57.0,20.0,89.0,9694.0,3038.0,521.0,124.0,0
1,38.0,41.0,102.0,10012.0,4062.0,283.0,89.0,0
0,97.0,23.0,103.0,17641.0,4218.0,849.0,194.0,0
0,63.0,108.0,99.0,19962.0,5017.0,819.0,247.0,0
0,31.0,17.0,62.0,5869.0,1542.0,279.0,78.0,0
0,75.0,36.0,84.0,14427.0,3152.0,487.0,139.0,0
1,68.0,8.0,97.0,11436.0,3581.0,255.0,69.0,0
0,52.0,19.0,107.0,11158.0,3534.0,496.0,155.0,0
1,98.0,43.0,75.0,17398.0,3284.0,415.0,73.0,0
0,55.0,43.0,93.0,9740.0,2888.0,530.0,148.0,0
1,70.0,82.0,93.0,19098.0,5127.0,481.0,132.0,0
0,82.0,9.0,83.0,13738.0,2772.0,529.0,117.0,0
1,82.0,52.0,103.0,18653.0,4461.0,473.0,104.0,0
1,40.0,45.0,90.0,8760.0,3267.0,254.0,59.0,0
0,75.0,15.0,88.0,12901.0,2869.0,581.0,165.0,0
1,77.0,70.0,83.0,18607.0,4441.0,444.0,82.0,0
1,69.0,46.0,88.0,14892.0,3258.0,340.0,68.0,0
0,61.0,35.0,99.0,13455.0,3017.0,511.0,162.0,0
1,71.0,34.0,71.0,13235.0,3437.0,316.0,59.0,0
1,52.0,40.0,83.0,11835.0,3191.0,338.0,80.0,0
1,66.0,19.0,93.0,10793.0,3057.0,331.0,77.0,0
0,62.0,16.0,90.0,12635.0,3272.0,526.0,129.0,0
0,71.0,31.0,68.0,13108.0,2617.0,635.0,133.0,0
0,26.0,54.0,102.0,8844.0,3202.0,413.0,143.0,0
1,37.0,63.0,80.0,10854.0,3485.0,306.0,78.0,0
1,88.0,49.0,85.0,15665.0,3639.0,413.0,91.0,0
0,73.0,12.0,93.0,11507.0,2716.0,606.0,108.0,0
1,68.0,16.0,96.0,13185.0,3018.0,278.0,58.0,0
0,54.0,22.0,107.0,8923.0,3724.0,540.0,147.0,0
1,77.0,8.0,67.0,11001.0,2306.0,308.0,66.0,0
0,27.0,60.0,91.0,9828.0,3074.0,521.0,175.0,0
0,65.0,16.0,65.0,9824.0,2063.0,504.0,100.0,0
1,85.0,20.0,82.0,16335.0,2967.0,330.0,68.0,0
1,69.0,86.0,92.0,19294.0,5661.0,442.0,107.0,0
0,102.0,53.0,65.0,19095.0,3663.0,799.0,144.0,0
0,51.0,31.0,99.0,10770.0,3126.0,493.0,116.0,0
1,60.0,39.0,110.0,12474.0,3070.0,313.0,84.0,0
1,51.0,25.0,81.0,10314.0,2876.0,290.0,61.0,0
0,83.0,61.0,103.0,20530.0,4296.0,774.0,224.0,0
0,86.0,20.0,87.0,15176.0,3750.0,781.0,170.0,0
1,37.0,35.0,90.0,7354.0,2726.0,296.0,74.0,0
0,68.0,1.0,91.0,8713.0,2858.0,538.0,132.0,0
0,60.0,17.0,85.0,11720.0,2834.0,499.0,136.0,0
1,67.0,5.0,76.0,9127.0,2445.0,340.0,61.0,0
1,58.0,11.0,92.0,9768.0,2510.0,278.0,60.0,0
1,47.0,63.0,90.0,13581.0,4218.0,335.0,87.0,0
1,64.0,75.0,80.0,13911.0,4375.0,454.0,94.0,0
0,42.0,30.0,70.0,8011.0,2073.0,488.0,123.0,0
0,76.0,17.0,86.0,9751.0,2483.0,620.0,135.0,0
1,68.0,45.0,87.0,14524.0,3742.0,338.0,72.0,0
1,75.0,26.0,91.0,15754.0,3408.0,320.0,78.0,0
1,32.0,60.0,94.0,11205.0,3944.0,316.0,74.0,0
0,84.0,32.0,74.0,18146.0,3715.0,681.0,136.0,0
1,58.0,14.0,96.0,10712.0,2962.0,239.0,64.0,0
1,72.0,49.0,80.0,15600.0,3109.0,407.0,87.0,0
0,95.0,57.0,69.0,18553.0,3973.0,767.0,162.0,0
1,56.0,26.0,86.0,9916.0,2886.0,316.0,84.0,0
0,57.0,1.0,79.0,7848.0,2161.0,441.0,116.0,0
0,49.0,83.0,72.0,14954.0,4018.0,711.0,180.0,0
1,70.0,56.0,90.0,19679.0,3930.0,299.0,85.0,0
