Y,red,green,blue,ir_1,vis_1,ir_2,vis_2,ir_3,vis_3,led_3_ir,pol_2,E
1,84.0,32.0,74.0,15668.0,3838.0,2035.0,451.0,722.0,170.0,0.0,0.0,0
1,67.0,29.0,113.0,14519.0,5151.0,2091.0,700.0,766.0,221.0,0.0,0.0,0
1,62.0,16.0,90.0,9954.0,3630.0,1409.0,394.0,659.0,177.0,0.0,0.0,0
1,56.0,39.0,82.0,12388.0,3388.0,1436.0,420.0,658.0,188.0,0.0,0.0,0
1,68.0,1.0,91.0,15704.0,4041.0,1704.0,470.0,614.0,161.0,0.0,0.0,0
1,66.0,90.0,83.0,13416.0,4274.0,2522.0,520.0,852.0,246.0,0.0,0.0,0
1,83.0,61.0,103.0,18702.0,5394.0,2109.0,623.0,998.0,253.0,0.0,0.0,0
1,51.0,56.0,69.0,13614.0,3754.0,1291.0,327.0,615.0,184.0,0.0,0.0,0
1,63.0,49.0,75.0,13897.0,3066.0,2072.0,465.0,722.0,206.0,0.0,0.0,0
0,56.0,3.0,99.0,10321.0,4435.0,1611.0,515.0,514.0,174.0,0.0,0.0,0
0,42.0,30.0,70.0,7363.0,2718.0,1064.0,324.0,438.0,131.0,0.0,0.0,0
0,51.0,31.0,99.0,12166.0,3679.0,1523.0,505.0,777.0,252.0,0.0,0.0,0
0,31.0,17.0,62.0,5859.0,2325.0,713.0,226.0,370.0,112.0,0.0,0.0,0
1,59.0,57.0,94.0,15305.0,4092.0,2102.0,567.0,850.0,219.0,0.0,0.0,0
1,57.0,45.0,101.0,16597.0,5028.0,1561.0,504.0,660.0,261.0,0.0,0.0,0
1,67.0,78.0,105.0,15858.0,4736.0,2393.0,653.0,1030.0,273.0,0.0,0.0,0
1,89.0,26.0,116.0,18880.0,4791.0,2441.0,669.0,943.0,218.0,0.0,0.0,0
0,45.0,21.0,90.0,10121.0,3704.0,1184.0,443.0,529.0,172.0,0.0,0.0,0
1,59.0,53.0,85.0,18085.0,4987.0,1429.0,452.0,779.0,222.0,0.0,0.0,0
1,72.0,116.0,103.0,21383.0,6559.0,2470.0,869.0,1104.0,320.0,0.0,0.0,0
1,67.0,25.0,87.0,14622.0,4104.0,1609.0,386.0,759.0,226.0,0.0,0.0,0
1,67.0,15.0,94.0,13584.0,3923.0,1494.0,414.0,592.0,179.0,0.0,0.0,0
0,65.0,16.0,65.0,11264.0,2896.0,1423.0,321.0,628.0,127.0,0.0,0.0,0
1,69.0,15.0,100.0,15444.0,4815.0,1470.0,524.0,744.0,231.0,0.0,0.0,0
0,41.0,43.0,88.0,11882.0,4410.0,1545.0,484.0,542.0,184.0,0.0,0.0,0
0,46.0,36.0,92.0,11059.0,3747.0,1176.0,346.0,661.0,220.0,0.0,0.0,0
