Y,red,green,blue,ir_3,vis_3,E
1,84.0,32.0,74.0,732.0,138.0,0
1,67.0,29.0,113.0,658.0,165.0,0
0,62.0,16.0,90.0,527.0,135.0,0
0,56.0,39.0,82.0,405.0,114.0,0
0,68.0,1.0,91.0,534.0,131.0,0
1,66.0,90.0,83.0,855.0,192.0,0
1,83.0,61.0,103.0,922.0,200.0,0
0,51.0,56.0,69.0,644.0,150.0,0
1,63.0,49.0,75.0,635.0,160.0,0
0,56.0,3.0,99.0,465.0,142.0,0
0,42.0,30.0,70.0,395.0,108.0,0
0,51.0,31.0,99.0,523.0,154.0,0
0,31.0,17.0,62.0,285.0,71.0,0
1,59.0,57.0,94.0,663.0,163.0,0
1,57.0,45.0,101.0,637.0,187.0,0
1,67.0,78.0,105.0,876.0,216.0,0
1,89.0,26.0,116.0,775.0,179.0,0
0,45.0,21.0,90.0,423.0,115.0,0
1,59.0,53.0,85.0,689.0,174.0,0
1,72.0,116.0,103.0,968.0,253.0,0
0,67.0,25.0,87.0,530.0,149.0,0
0,67.0,15.0,94.0,542.0,121.0,0
0,65.0,16.0,65.0,472.0,102.0,0
1,69.0,15.0,100.0,572.0,155.0,0
0,41.0,43.0,88.0,473.0,129.0,0
0,46.0,36.0,92.0,527.0,137.0,0
1,61.0,35.0,99.0,568.0,148.0,0
0,86.0,20.0,87.0,630.0,140.0,0
1,89.0,67.0,106.0,921.0,223.0,0
0,49.0,36.0,95.0,564.0,148.0,0
0,62.0,6.0,97.0,514.0,138.0,0
1,63.0,108.0,99.0,865.0,222.0,0
0,60.0,17.0,85.0,480.0,134.0,0
1,102.0,53.0,65.0,832.0,164.0,0
1,83.0,62.0,86.0,794.0,181.0,0
1,75.0,36.0,84.0,795.0,145.0,0
0,54.0,22.0,107.0,549.0,153.0,0
0,43.0,34.0,82.0,419.0,106.0,0
1,95.0,18.0,82.0,821.0,158.0,0
1,79.0,36.0,106.0,699.0,170.0,0
0,50.0,20.0,99.0,464.0,113.0,0
0,75.0,15.0,88.0,627.0,133.0,0
0,52.0,19.0,107.0,503.0,163.0,0
1,86.0,15.0,97.0,611.0,144.0,0
0,49.0,83.0,72.0,727.0,178.0,0
0,49.0,46.0,84.0,549.0,168.0,0
0,26.0,54.0,102.0,520.0,155.0,0
1,64.0,69.0,94.0,787.0,199.0,0
1,76.0,81.0,94.0,790.0,178.0,0
