Y,red,green,blue,vis_1,ir_2,vis_2,ir_3,vis_3,E
1,84.0,32.0,74.0,2787.0,2055.0,453.0,732.0,138.0,0
1,67.0,29.0,113.0,3387.0,1343.0,442.0,658.0,165.0,0
0,62.0,16.0,90.0,2962.0,1499.0,287.0,527.0,135.0,0
0,56.0,39.0,82.0,3096.0,1534.0,379.0,405.0,114.0,0
0,68.0,1.0,91.0,3054.0,1563.0,386.0,534.0,131.0,0
1,66.0,90.0,83.0,4673.0,2147.0,498.0,855.0,192.0,0
1,83.0,61.0,103.0,4467.0,1955.0,516.0,922.0,200.0,0
0,51.0,56.0,69.0,3181.0,1492.0,388.0,644.0,150.0,0
1,63.0,49.0,75.0,3706.0,1458.0,374.0,635.0,160.0,0
0,56.0,3.0,99.0,2824.0,957.0,351.0,465.0,142.0,0
0,42.0,30.0,70.0,2174.0,1005.0,303.0,395.0,108.0,0
0,51.0,31.0,99.0,2851.0,1321.0,346.0,523.0,154.0,0
0,31.0,17.0,62.0,1394.0,768.0,210.0,285.0,71.0,0
1,59.0,57.0,94.0,3645.0,1791.0,513.0,663.0,163.0,0
1,57.0,45.0,101.0,3952.0,1339.0,485.0,637.0,187.0,0
1,67.0,78.0,105.0,3852.0,2366.0,614.0,876.0,216.0,0
1,89.0,26.0,116.0,3651.0,1871.0,479.0,775.0,179.0,0
0,45.0,21.0,90.0,2283.0,1097.0,241.0,423.0,115.0,0
1,59.0,53.0,85.0,3215.0,1463.0,409.0,689.0,174.0,0
1,72.0,116.0,103.0,6738.0,2818.0,592.0,968.0,253.0,0
0,67.0,25.0,87.0,3189.0,1041.0,323.0,530.0,149.0,0
0,67.0,15.0,94.0,2863.0,1563.0,374.0,542.0,121.0,0
0,65.0,16.0,65.0,2428.0,1245.0,288.0,472.0,102.0,0
1,69.0,15.0,100.0,3308.0,1500.0,387.0,572.0,155.0,0
0,41.0,43.0,88.0,2878.0,1338.0,437.0,473.0,129.0,0
0,46.0,36.0,92.0,3080.0,1469.0,395.0,527.0,137.0,0
1,61.0,35.0,99.0,3315.0,1100.0,403.0,568.0,148.0,0
0,86.0,20.0,87.0,2829.0,1665.0,398.0,630.0,140.0,0
1,89.0,67.0,106.0,5052.0,2729.0,642.0,921.0,223.0,0
0,49.0,36.0,95.0,3139.0,1166.0,413.0,564.0,148.0,0
0,62.0,6.0,97.0,3018.0,1615.0,368.0,514.0,138.0,0
1,63.0,108.0,99.0,5069.0,2443.0,531.0,865.0,222.0,0
0,60.0,17.0,85.0,3136.0,1176.0,320.0,480.0,134.0,0
1,102.0,53.0,65.0,3640.0,2200.0,467.0,832.0,164.0,0
1,83.0,62.0,86.0,3242.0,2193.0,486.0,794.0,181.0,0
1,75.0,36.0,84.0,3871.0,1682.0,374.0,795.0,145.0,0
0,54.0,22.0,107.0,3033.0,1330.0,391.0,549.0,153.0,0
0,43.0,34.0,82.0,2469.0,1206.0,298.0,419.0,106.0,0
