Y,red,green,blue,ir_1,vis_1,ir_2,vis_2,ir_3,vis_3,led_3_ir,pol_2,E
1,102.0,60.0,126.0,21857.0,4714.0,2472.0,585.0,685.0,167.0,0.0,0.0,0
0,78.0,66.0,105.0,16957.0,4081.0,2170.0,578.0,926.0,172.0,0.0,0.0,0
0,103.0,106.0,122.0,28591.0,5981.0,3069.0,616.0,1274.0,241.0,0.0,0.0,0
0,140.0,82.0,102.0,25704.0,5124.0,3161.0,610.0,1190.0,271.0,0.0,0.0,0
0,117.0,79.0,113.0,23074.0,5657.0,2505.0,646.0,1093.0,217.0,0.0,0.0,0
1,112.0,101.0,101.0,24528.0,5093.0,2827.0,756.0,768.0,177.0,0.0,0.0,0
0,102.0,56.0,123.0,22335.0,3968.0,2404.0,596.0,908.0,185.0,0.0,0.0,0
1,113.0,56.0,111.0,21565.0,4321.0,2128.0,583.0,633.0,141.0,0.0,0.0,0
1,123.0,80.0,111.0,26182.0,4775.0,2362.0,589.0,811.0,177.0,0.0,0.0,0
0,114.0,79.0,100.0,20014.0,5368.0,2272.0,507.0,1093.0,200.0,0.0,0.0,0
0,97.0,46.0,119.0,18525.0,4915.0,2360.0,474.0,778.0,181.0,0.0,0.0,0
1,125.0,86.0,124.0,21591.0,6125.0,3106.0,667.0,845.0,208.0,0.0,0.0,0
1,115.0,74.0,115.0,27019.0,4915.0,2419.0,659.0,765.0,167.0,0.0,0.0,0
1,108.0,79.0,113.0,21560.0,5231.0,2384.0,633.0,615.0,187.0,0.0,0.0,0
0,83.0,71.0,116.0,16009.0,4274.0,2309.0,415.0,944.0,193.0,0.0,0.0,0
1,98.0,115.0,91.0,22384.0,5320.0,3068.0,493.0,882.0,211.0,0.0,0.0,0
0,98.0,72.0,128.0,21801.0,5895.0,2261.0,652.0,1201.0,216.0,0.0,0.0,0
1,100.0,70.0,99.0,23199.0,5046.0,2405.0,488.0,685.0,120.0,0.0,0.0,0
1,137.0,59.0,122.0,26875.0,4750.0,3093.0,584.0,859.0,187.0,0.0,0.0,0
1,99.0,98.0,114.0,25499.0,4517.0,2274.0,642.0,768.0,179.0,0.0,0.0,0
