Y,red,green,blue,ir_1,vis_1,ir_2,vis_2,ir_3,vis_3,led_3_ir,pol_2,E
1,102.0,60.0,126.0,19698.0,4996.0,2751.0,547.0,722.0,154.0,0.0,0.0,0
1,78.0,66.0,105.0,17740.0,4037.0,2380.0,466.0,738.0,153.0,0.0,0.0,0
0,103.0,106.0,122.0,26073.0,5193.0,3501.0,638.0,1126.0,258.0,0.0,0.0,0
1,140.0,82.0,102.0,29117.0,4801.0,3087.0,579.0,984.0,181.0,0.0,0.0,0
1,117.0,79.0,113.0,22955.0,4231.0,2895.0,511.0,891.0,150.0,0.0,0.0,0
1,112.0,101.0,101.0,24724.0,6007.0,2620.0,668.0,884.0,167.0,0.0,0.0,0
0,102.0,56.0,123.0,19146.0,4968.0,2647.0,553.0,869.0,198.0,0.0,0.0,0
1,113.0,56.0,111.0,21405.0,4700.0,2396.0,554.0,700.0,126.0,0.0,0.0,0
1,123.0,80.0,111.0,21738.0,5519.0,3233.0,588.0,881.0,192.0,0.0,0.0,0
0,114.0,79.0,100.0,22925.0,4858.0,2609.0,573.0,1089.0,170.0,0.0,0.0,0
1,97.0,46.0,119.0,20922.0,5001.0,2144.0,582.0,691.0,189.0,0.0,0.0,0
1,125.0,86.0,124.0,24941.0,5932.0,3489.0,675.0,988.0,189.0,0.0,0.0,0
1,115.0,74.0,115.0,22164.0,4825.0,2462.0,625.0,816.0,177.0,0.0,0.0,0
1,108.0,79.0,113.0,21194.0,4972.0,2898.0,631.0,820.0,163.0,0.0,0.0,0
1,83.0,71.0,116.0,20135.0,3475.0,2280.0,488.0,719.0,167.0,0.0,0.0,0
1,98.0,115.0,91.0,24497.0,5157.0,2796.0,679.0,807.0,171.0,0.0,0.0,0
0,98.0,72.0,128.0,21472.0,4410.0,2362.0,616.0,1039.0,212.0,0.0,0.0,0
0,100.0,70.0,99.0,22649.0,4978.0,2445.0,599.0,413.0,86.0,0.0,0.0,0
1,137.0,59.0,122.0,25995.0,5143.0,3396.0,692.0,875.0,180.0,0.0,0.0,0
0,99.0,98.0,114.0,22510.0,4677.0,2596.0,721.0,462.0,102.0,0.0,0.0,0
0,167.0,33.0,111.0,26315.0,4513.0,3029.0,527.0,530.0,83.0,0.0,0.0,0
0,128.0,75.0,114.0,22586.0,5600.0,2768.0,571.0,1159.0,225.0,0.0,0.0,0
1,143.0,101.0,116.0,27951.0,6657.0,3122.0,810.0,1180.0,256.0,0.0,0.0,0
0,128.0,121.0,93.0,27742.0,5984.0,3491.0,773.0,587.0,119.0,0.0,0.0,0
